model_key,model_label,interval,rows,window_start,window_end,total_pnl_usdt_1btc,avg_pnl_per_trade_usdt,compounded_return_pct
5min_winner,5min native direction head,15m,9408,2026-01-01 00:00:00,2026-04-08 23:45:00,46239.10999999952,4.9148713860543705,71.84745306185
1h_pruned50_winner,1h pruned50 direction head,15m,9408,2026-01-01 00:00:00,2026-04-08 23:45:00,29209.629999999117,3.104765093537321,40.64481848137669
1h_pruned50_winner,1h pruned50 direction head,1h,2352,2026-01-01 00:00:00,2026-04-08 23:00:00,11998.570000000022,5.101432823129261,12.72692672445066
5min_winner,5min native direction head,1h,2352,2026-01-01 00:00:00,2026-04-08 23:00:00,8131.92999999976,3.457453231292415,5.403328573692545
1h_pruned50_winner,1h pruned50 direction head,1m,141120,2026-01-01 00:00:00,2026-04-08 23:59:00,-9096.81999999209,-0.0644615929704655,-16.09256537775864
5min_winner,5min native direction head,1d,98,2026-01-01 00:00:00,2026-04-08 00:00:00,-10531.810000000056,-107.4674489795924,-11.34906860860605
1h_pruned50_winner,1h pruned50 direction head,1d,98,2026-01-01 00:00:00,2026-04-08 00:00:00,-20043.99000000005,-204.53051020408213,-21.555003739574186
5min_winner,5min native direction head,1m,141120,2026-01-01 00:00:00,2026-04-08 23:59:00,-22060.619999992326,-0.15632525510198644,-33.042431654329995
5min_winner,5min native direction head,4h,588,2026-01-01 00:00:00,2026-04-08 20:00:00,-22150.310000000158,-37.67059523809551,-29.099349383447116
1h_pruned50_winner,1h pruned50 direction head,4h,588,2026-01-01 00:00:00,2026-04-08 20:00:00,-35116.15000000002,-59.721343537415,-39.906050770611614
